  362079.06	   61219.23
  116059.49	  105566.07
  326286.97	  411609.09
   84727.42	  333825.53
  192015.27	  248162.11
  335300.42	  240097.73
  204670.83	  441693.44
  223849.60	  259437.84
  197026.87	   32902.82
   67392.40	  183183.89
   20482.04	  443390.92
  350280.81	  283883.49
  449852.28	   27585.00
  141836.41	  242463.91
  206999.46	  105547.63
  423539.80	   96379.35
  135933.15	  373123.66
  299952.04	  325462.20
  328568.63	  163336.65
  140568.70	  273985.02
  186309.01	  352472.55
  309676.50	  177014.37
  301818.07	  114690.70
  404440.55	  142810.05
  299367.72	  240300.65
